,control variable,experimental variable,phase,test,y-value,control n,experimental n,control mean,experimental mean,control stdev,experimental stdev,test statistic,degrees of freedom,critical value,p-value,significance
0,WT,"yTubulin37C[3], 2X MTOC",interphase,Unpaired Student's T-test,AC/Cyto,10,20,3.3469642214122017,2.8909010587786264,0.7641574754872862,0.5577035172532927,1.6771412179014373,28,1.701130934265931,0.10464567611768705,ns
1,WT,"yTubulin37C[3], 2X MTOC",interphase,Unpaired Student's T-test,BC/Cyto,10,20,1.2998190418599613,2.763023523290698,0.36483536618364387,0.6323000837093853,-8.01823240011912,28,1.701130934265931,9.880861906452765e-09,****
2,WT,"yTubulin37C[3], 2X MTOC",interphase,Unpaired Student's T-test,AC/BC,10,20,2.634934580110863,1.0797284114215708,0.48468467378554836,0.25510289935962405,9.509554943567633,28,1.701130934265931,2.886306749161349e-10,****
3,WT,"yTubulin37C[3], 0X MTOC",interphase,Unpaired Student's T-test,AC/Cyto,10,13,3.3469642214122017,1.3240875852182181,0.7641574754872862,0.28862825242440604,7.94649715654501,21,1.7207429028118775,9.169095327443699e-08,****
4,WT,"yTubulin37C[3], 0X MTOC",interphase,Unpaired Student's T-test,BC/Cyto,10,13,1.2998190418599613,1.1592592947581852,0.36483536618364387,0.3182802289433281,0.9675851240164978,21,1.7207429028118775,0.3442639053441141,ns
5,WT,"yTubulin37C[3], 0X MTOC",interphase,Unpaired Student's T-test,AC/BC,10,13,2.634934580110863,1.181730998281292,0.48468467378554836,0.2859712156319418,8.420633020530996,21,1.7207429028118775,3.586688857026843e-08,****
6,WT,yTubulin37C[S131A],interphase,Unpaired Student's T-test,AC/Cyto,10,13,3.3469642214122017,2.5034681978912445,0.7641574754872862,0.4013269479107094,3.1704294548062326,21,1.7207429028118775,0.00460883813153834,**
7,WT,yTubulin37C[S131A],interphase,Unpaired Student's T-test,BC/Cyto,10,13,1.2998190418599613,2.348180517859902,0.36483536618364387,0.5978424448970838,-5.1899088514636995,21,1.7207429028118775,3.832980519891116e-05,****
8,WT,yTubulin37C[S131A],interphase,Unpaired Student's T-test,AC/BC,10,13,2.634934580110863,1.0937696725435182,0.48468467378554836,0.1545025199070341,9.68383370595366,21,1.7207429028118775,3.390342895315257e-09,****
